symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH603922,金鸿顺,25.42,+0.42,1.68%,20.02%,1942300,49031246.0,1.52%,,0.197%,3253760000.0
SH601168,西部矿业,12.7,+0.21,1.68%,39.68%,24706522,317319546.0,1.04%,9.274,11.024%,30264100000.0
SH600458,时代新材,9.66,+0.16,1.68%,8.35%,4122743,39875398.0,0.51%,19.06,1.398%,7965038548.0
SH603132,金徽股份,12.14,+0.2,1.68%,3.84%,1903200,23116684.0,1.19%,29.137,3.987%,11872920000.0
SH603023,威帝股份,4.87,+0.08,1.67%,27.76%,23113181,112825356.0,4.11%,394.754,1.027%,2737328660.0
SH605136,丽人丽妆,10.33,+0.17,1.67%,-26.11%,4606664,47193885.0,1.15%,,2.043%,4136736305.0
SH600328,中盐化工,7.96,+0.13,1.66%,-26.57%,9709520,77301542.0,0.67%,12.623,4.774%,11718909320.0
SH603379,三美股份,25.77,+0.42,1.66%,-8.56%,3004596,77850057.0,0.49%,57.997,0.927%,15732044783.0
SH600230,沧州大化,12.83,+0.21,1.66%,-20.66%,2449459,31557463.0,0.59%,13.976,2.354%,5339139529.0
SH603555,ST贵人,1.84,+0.03,1.66%,-49.31%,21546991,39299136.0,1.37%,,,2891569859.0
SH605007,五洲特纸,14.2,+0.23,1.65%,-23.83%,1806882,25515872.0,2.18%,,1.12%,5735331180.0
SH600388,龙净环保,14.13,+0.23,1.65%,-2.48%,4219872,59649647.0,0.39%,17.962,3.022%,15275994984.0
SH600973,宝胜股份,4.92,+0.08,1.65%,3.14%,13150700,64526509.0,0.96%,46.074,,6747121940.0
SH601952,苏垦农发,10.47,+0.17,1.65%,-9.28%,6288653,65852762.0,0.46%,19.155,2.865%,14427660000.0
SH600409,三友化工,5.57,+0.09,1.64%,-13.36%,9036900,50464610.0,0.44%,27.779,2.621%,11498426425.0
SH600282,南钢股份,3.75,+0.06,1.63%,27.88%,36611815,136889107.0,0.59%,14.582,6.667%,23119091291.0
SH603070,万控智造,16.24,+0.26,1.63%,-7.31%,1264575,20538699.0,1.56%,29.343,0.493%,6512240000.0
SH603090,宏盛股份,19.94,+0.32,1.63%,-27.08%,918500,18274318.0,0.92%,25.874,1.505%,1994000000.0
SH600986,浙文互联,5.01,+0.08,1.62%,0.4%,18573208,92831344.0,1.4%,84.969,,7451744051.0
SH600787,中储股份,5.01,+0.08,1.62%,2.62%,8965396,44980095.0,0.41%,28.155,1.996%,10925450627.0
SH600053,九鼎投资,13.14,+0.21,1.62%,-10.0%,1691200,22195605.0,0.39%,39.639,1.218%,5696726112.0
SH600337,美克家居,2.51,+0.04,1.62%,-10.99%,21981952,55090021.0,1.49%,,,3713651768.0
SH600000,浦发银行,6.93,+0.11,1.61%,-0.51%,26841192,184734450.0,0.09%,4.609,4.618%,203410582424.0
SH600740,山西焦化,5.06,+0.08,1.61%,-2.78%,14061805,71055134.0,0.55%,11.213,3.953%,12964333039.0
SH600235,民丰特纸,5.67,+0.09,1.61%,1.99%,4511300,25528074.0,1.28%,183.42,0.176%,1991871000.0
SH601133,XD柏诚股,12.61,+0.2,1.61%,9.08%,3857441,48656544.0,2.97%,31.378,1.546%,6588725000.0
SH600536,中国软件,33.99,+0.54,1.61%,-24.22%,17485789,598645736.0,2.09%,,0.047%,29238379609.0
SH600858,银座股份,5.69,+0.09,1.61%,-12.06%,4897639,27854543.0,0.95%,27.009,,2959178891.0
SH603230,内蒙新华,11.39,+0.18,1.61%,4.48%,2168741,24658818.0,2.43%,13.416,1.317%,4026626970.0
SH600158,中体产业,8.28,+0.13,1.6%,-5.12%,9317936,76875634.0,0.97%,421.496,0.048%,7944768195.0
SH603188,亚邦股份,3.8,+0.06,1.6%,2.98%,9186720,34709248.0,1.61%,,,2166646000.0
SH600470,六国化工,5.07,+0.08,1.6%,-17.56%,4501717,22845046.0,0.86%,190.156,,2644512000.0
SH601118,海南橡胶,4.48,+0.07,1.59%,2.28%,20419326,91257711.0,0.48%,,0.246%,19171836531.0
SH600052,东望时代,4.46,+0.07,1.59%,-18.32%,4262187,19021378.0,0.5%,,,3765108545.0
SH603818,曲美家居,5.12,+0.08,1.59%,-18.73%,4231400,21665980.0,0.73%,,,2996766956.0
SH605286,同力日升,23.66,+0.37,1.59%,-43.53%,1345149,31872142.0,2.8%,23.32,0.511%,4164160000.0
SH603111,康尼机电,4.47,+0.07,1.59%,7.97%,4044300,18094693.0,0.48%,18.754,,4439941413.0
SH601616,广电电气,3.23,+0.05,1.57%,-2.67%,6525149,21078175.0,0.7%,81.847,2.167%,3021907250.0
SH600693,东百集团,3.87,+0.06,1.57%,-19.85%,6501453,25107620.0,0.75%,154.422,1.292%,3366304972.0
SH600368,五洲交通,3.89,+0.06,1.57%,15.27%,36601839,143016820.0,2.96%,7.161,1.208%,4816579620.0
SH600426,华鲁恒升,31.09,+0.48,1.57%,-3.72%,8904908,278813813.0,0.42%,18.919,2.573%,66014018769.0
SH600836,上海易连,3.87,+0.06,1.57%,-38.96%,15109496,58805839.0,2.27%,,,2588848389.0
SH603568,伟明环保,17.59,+0.27,1.56%,-4.25%,2802588,49253091.0,0.17%,15.235,0.853%,29984697775.0
SH600662,外服控股,5.21,+0.08,1.56%,-10.94%,3350422,17479749.0,0.32%,20.907,2.303%,11898137697.0
SH605089,味知香,37.66,+0.58,1.56%,-27.92%,557749,21001496.0,1.53%,37.129,1.54%,5197080000.0
SH600033,福建高速,3.25,+0.05,1.56%,17.26%,11059220,35729400.0,0.4%,10.209,4.615%,8919300000.0
SH603201,常润股份,24.02,+0.37,1.56%,12.86%,1261376,30269420.0,2.75%,15.878,1.249%,2673201845.0
SH600618,氯碱化工,8.53,+0.13,1.55%,-9.71%,2533800,21555001.0,0.34%,12.628,4.22%,9864091795.0
SH600527,江南高纤,1.97,+0.03,1.55%,0.05%,10579644,20738338.0,0.61%,51.999,5.076%,3411568977.0
SH603738,泰晶科技,16.39,+0.25,1.55%,14.25%,12602871,206849321.0,3.26%,63.892,0.915%,6381337539.0
SH603863,松炀资源,34.76,+0.53,1.55%,170.51%,6286700,218756993.0,3.07%,,,7113634000.0
SH600894,广日股份,7.21,+0.11,1.55%,14.43%,4123801,29729356.0,0.48%,10.519,2.497%,6200217113.0
SH600650,锦江在线,9.21,+0.14,1.54%,-12.6%,1105543,10160833.0,0.28%,52.962,3.149%,5080329085.0
SH600821,金开新能,6.61,+0.1,1.54%,-7.33%,15676751,102662908.0,0.78%,15.067,1.513%,13201911424.0
SH600359,新农开发,7.26,+0.11,1.54%,-16.26%,3070545,22267375.0,0.8%,40.755,,2769783073.0
SH603969,银龙股份,5.29,+0.08,1.54%,8.86%,96534422,535078466.0,11.53%,35.54,1.134%,4505736340.0
SH600149,廊坊发展,5.28,+0.08,1.54%,-14.84%,4049833,21344573.0,1.07%,,,2007244800.0
SH600309,万华化学,85.96,+1.3,1.54%,-5.48%,9697731,838172693.0,0.31%,17.607,1.861%,269892619971.0
SH600721,百花医药,7.97,+0.12,1.53%,29.8%,29624550,234860011.0,7.78%,,,3036182754.0
SH601018,宁波港,3.31,+0.05,1.53%,-5.2%,12975606,42882154.0,0.08%,15.87,2.628%,64394025601.0
SH600372,中航机载,13.3,+0.2,1.53%,-16.03%,23311547,310288804.0,0.52%,47.372,0.887%,64357325179.0
SH601177,杭齿前进,8.7,+0.13,1.52%,7.14%,2390800,20883328.0,0.6%,15.348,0.816%,3480522000.0
SH600872,中炬高新,32.71,+0.49,1.52%,-11.28%,6514702,213792677.0,0.83%,,0.929%,25689647325.0
SH601186,中国铁建,7.99,+0.12,1.52%,6.12%,61269054,493245672.0,0.53%,4.048,3.504%,108500536585.0
SH600335,国机汽车,7.39,+0.11,1.51%,-3.88%,30495437,225428736.0,2.04%,35.114,1.083%,11053878434.0
SH605188,国光连锁,9.42,+0.14,1.51%,-7.55%,7796400,73692980.0,1.57%,186.3,0.106%,4668363600.0
SH600997,开滦股份,6.74,+0.1,1.51%,8.3%,7741100,52373215.0,0.49%,8.304,8.605%,10701770996.0
SH603021,山东华鹏,5.39,+0.08,1.51%,-9.87%,2648040,14235706.0,0.83%,,,1724520097.0
SH600238,海南椰岛,9.43,+0.14,1.51%,-41.06%,5824638,55156079.0,1.31%,,,4226526000.0
SH603115,海星股份,13.45,+0.2,1.51%,-9.93%,888400,11939493.0,0.37%,24.182,5.576%,3217240000.0
SH603758,秦安股份,10.76,+0.16,1.51%,52.94%,7307000,78305694.0,1.67%,20.293,9.294%,4721456247.0
SH600505,西昌电力,7.45,+0.11,1.5%,-4.1%,2785002,20754799.0,0.76%,,0.51%,2716027875.0
SH605218,伟时电子,14.89,+0.22,1.5%,8.64%,1879500,27458548.0,0.88%,32.49,0.672%,3169090219.0
SH603015,弘讯科技,8.12,+0.12,1.5%,26.84%,2746731,22326455.0,0.68%,84.972,0.616%,3282258280.0
SH600192,长城电工,5.41,+0.08,1.5%,-5.25%,4976458,27034092.0,1.13%,,,2389856680.0
SH605388,均瑶健康,12.18,+0.18,1.5%,-18.4%,1513200,18427770.0,0.35%,66.391,0.821%,5237400000.0
SH603360,百傲化学,10.18,+0.15,1.5%,-14.5%,3029662,30836160.0,0.85%,10.054,5.648%,3668039184.0
SH601038,一拖股份,11.52,+0.17,1.5%,3.98%,3205507,37109173.0,0.54%,15.162,1.962%,12944393568.0
SH600366,宁波韵升,6.79,+0.1,1.49%,-34.93%,8424423,57317154.0,0.8%,,1.473%,7552979066.0
SH600826,兰生股份,9.54,+0.14,1.49%,4.92%,3552749,33846279.0,0.85%,14.622,1.153%,5043072559.0
SH601890,亚星锚链,8.86,+0.13,1.49%,0.81%,9804055,86982531.0,1.02%,42.424,0.564%,8500284000.0
SH603008,喜临门,19.12,+0.28,1.49%,-32.81%,2947100,56432892.0,0.76%,30.841,0.418%,7407428087.0
SH601212,白银有色,2.72,+0.04,1.49%,4.67%,20753695,56409830.0,0.28%,,0.037%,20140986670.0
SH601606,长城军工,12.29,+0.18,1.49%,18.37%,9194075,112509554.0,1.27%,84.658,0.187%,8900767036.0
SH603908,牧高笛,39.41,+0.58,1.49%,-33.55%,930500,36741634.0,1.4%,21.116,3.045%,2628252900.0
SH600119,长江投资,6.12,+0.09,1.49%,-9.2%,2180700,13309054.0,0.71%,,,2235454664.0
SH601588,北辰实业,2.05,+0.03,1.49%,0.49%,25636740,52535904.0,0.96%,,0.488%,6902391000.0
SH600157,永泰能源,1.37,+0.02,1.48%,-10.46%,247346460,338480860.0,1.11%,15.283,,30438336879.0
SH603990,麦迪科技,13.04,+0.19,1.48%,-11.11%,4548678,59243991.0,1.63%,,,3993926812.0
SH600391,航发科技,18.46,+0.27,1.48%,3.88%,3624699,66995789.0,1.1%,87.466,,6094188115.0
SH600654,ST中安,2.06,+0.03,1.48%,-18.9%,4702118,9676129.0,0.21%,33.867,,5898439200.0
SH600460,士兰微,23.5,+0.34,1.47%,-28.12%,11510478,269976308.0,0.81%,80.8,0.426%,33277688358.0
SH600232,金鹰股份,5.52,+0.08,1.47%,4.88%,4340700,23922880.0,1.19%,58.724,3.623%,2013246363.0
SH603825,华扬联众,11.02,+0.16,1.47%,-22.28%,2682600,29486624.0,1.06%,,2.541%,2791768803.0
SH600198,大唐电信,6.88,+0.1,1.47%,16.22%,18763080,128776988.0,2.13%,,,9038317273.0
SH600500,中化国际,4.88,+0.07,1.46%,-24.15%,13527673,66210224.0,0.43%,101.726,3.074%,17516037335.0
SH601127,赛力斯,81.93,+1.18,1.46%,104.88%,97210103,7995383712.0,6.45%,,,123500611976.0
SH603978,深圳新星,16.03,+0.23,1.46%,-13.49%,888818,14329606.0,0.54%,,,2660260237.0
SH600096,云天化,16.0,+0.23,1.46%,-19.79%,11207977,179719801.0,0.64%,5.608,6.25%,29349259952.0
SH600018,上港集团,4.91,+0.07,1.45%,-5.6%,15815583,77470477.0,0.07%,8.322,2.851%,114325150723.0
SH603057,紫燕食品,21.0,+0.3,1.45%,-31.26%,1257649,26420140.0,1.85%,30.288,3.571%,8652000000.0
SH605138,盛泰集团,7.72,+0.11,1.45%,-26.53%,2097991,16108159.0,0.71%,14.041,2.642%,4288928851.0
SH603031,安孚科技,44.79,+0.64,1.45%,-3.99%,428164,19183936.0,0.38%,47.071,,5016480000.0
SH603066,音飞储存,9.78,+0.14,1.45%,-12.01%,1569000,15313719.0,0.52%,21.126,0.93%,2940874362.0
SH603901,永创智能,11.29,+0.16,1.44%,-27.86%,1601800,18126733.0,0.33%,19.723,1.151%,5508537691.0
SH603590,康辰药业,37.24,+0.53,1.44%,50.21%,993108,36856609.0,0.63%,53.038,0.537%,5958400000.0
SH600837,海通证券,9.89,+0.14,1.44%,16.28%,42803859,422798782.0,0.48%,23.001,2.123%,129204938000.0
SH603172,万丰股份,16.26,+0.23,1.43%,11.52%,1041796,16876682.0,3.18%,38.989,,2168758800.0
SH600794,保税科技,3.55,+0.05,1.43%,-8.28%,7066351,25026568.0,0.58%,18.582,1.014%,4303140157.0
SH603729,龙韵股份,16.28,+0.23,1.43%,22.68%,6729737,108334725.0,7.21%,,,1519542640.0
SH603051,鹿山新材,34.24,+0.48,1.42%,-42.3%,8335958,290548820.0,17.03%,,1.168%,3195242560.0
SH601579,会稽山,10.75,+0.15,1.42%,-21.32%,3125712,33671166.0,0.65%,35.363,2.791%,5154231647.0
SH600021,上海电力,8.59,+0.12,1.42%,-13.91%,19254292,165125986.0,0.74%,21.039,0.407%,24195827911.0
SH601965,中国汽研,18.69,+0.26,1.41%,-2.3%,4160767,77590697.0,0.42%,24.818,1.605%,18769480851.0
SH600971,恒源煤电,9.38,+0.13,1.41%,47.2%,11992505,112956583.0,1.0%,4.091,10.661%,11256045812.0
SH600834,申通地铁,7.92,+0.11,1.41%,-2.64%,1400600,11066808.0,0.29%,52.329,0.581%,3780864688.0
SH600167,联美控股,5.76,+0.08,1.41%,-5.93%,3557000,20501413.0,0.16%,14.068,3.646%,13179568176.0
SH600280,中央商场,3.62,+0.05,1.4%,10.7%,25100500,91422620.0,2.22%,,,4084571933.0
SH600828,茂业商业,3.63,+0.05,1.4%,-3.84%,5931812,21541277.0,0.34%,16.327,4.132%,6287096642.0
SH603055,台华新材,10.85,+0.15,1.4%,8.4%,4021381,43228436.0,0.45%,45.492,0.922%,9661496718.0
SH600684,珠江股份,3.66,+0.05,1.39%,-3.94%,31979813,119762435.0,3.75%,,,3123666246.0
SH600475,华光环能,9.51,+0.13,1.39%,11.76%,2519750,23971155.0,0.27%,12.119,3.68%,8974236252.0
SH605488,福莱新材,15.27,+0.21,1.39%,15.78%,1057243,16110527.0,2.43%,37.351,1.29%,2734561174.0
SH600110,诺德股份,5.85,+0.08,1.39%,-25.35%,11619700,68177988.0,0.67%,96.003,1.709%,10216864312.0
SH600711,盛屯矿业,4.39,+0.06,1.39%,-25.47%,21122438,92997467.0,0.68%,,0.774%,13747905658.0
SH600726,华电能源,2.19,+0.03,1.39%,-18.28%,11126369,24360323.0,0.58%,,,17317066300.0
SH603385,惠达卫浴,8.0,+0.11,1.39%,16.85%,2049300,16340605.0,0.55%,25.535,1.263%,3053770384.0
SH601399,国机重装,2.93,+0.04,1.38%,-2.98%,18310380,53745970.0,0.25%,49.396,,21135718758.0
SH601022,宁波远洋,8.83,+0.12,1.38%,-33.63%,2141473,18876273.0,1.64%,19.749,1.744%,11555232339.0
SH601106,中国一重,2.93,+0.04,1.38%,0.0%,18645479,54716158.0,0.27%,220.871,,20093303976.0
SH603519,立霸股份,12.62,+0.17,1.37%,27.97%,2622168,33094113.0,0.98%,4.96,13.471%,3361057328.0
SH600249,两面针,5.18,+0.07,1.37%,-1.33%,6083052,31456108.0,1.11%,,,2849000000.0
SH600278,东方创业,6.67,+0.09,1.37%,-1.15%,4174087,27826224.0,0.61%,20.391,1.889%,5889157781.0
SH601366,利群股份,5.18,+0.07,1.37%,-15.7%,2006500,10371478.0,0.24%,,1.931%,4401060877.0
SH600648,外高桥,11.16,+0.15,1.36%,-3.87%,2818890,31484669.0,0.3%,11.902,2.957%,12670496224.0
SH601330,绿色动力,6.72,+0.09,1.36%,0.87%,2557100,17204944.0,0.26%,13.526,1.786%,9363987535.0
SH601880,辽港股份,1.49,+0.02,1.36%,-7.0%,55916280,83348282.0,0.3%,30.573,1.141%,35740728066.0
SH600360,华微电子,6.73,+0.09,1.36%,2.4%,15434304,103322757.0,1.61%,223.036,0.267%,6462787396.0
SH600658,电子城,4.46,+0.06,1.36%,15.48%,10760973,48203213.0,0.96%,9.203,1.188%,4988889301.0
SH600515,海南机场,3.72,+0.05,1.36%,-25.9%,22685256,84246913.0,0.25%,17.895,,42502151719.0
SH600287,江苏舜天,5.26,+0.07,1.35%,1.89%,3984301,20897535.0,0.91%,39.455,1.711%,2308340343.0
SH603717,天域生态,6.78,+0.09,1.35%,-1.45%,3735688,25365503.0,1.29%,,,1967191507.0
SH600869,远东股份,4.52,+0.06,1.35%,-10.5%,8820052,39915545.0,0.4%,19.174,,10031474412.0
SH600643,爱建集团,5.3,+0.07,1.34%,-2.27%,10728504,57062799.0,0.66%,26.75,1.698%,8596188996.0
SH600854,春兰股份,4.57,+0.06,1.33%,2.59%,3718051,16924080.0,0.72%,35.016,2.516%,2373925519.0
SH603353,和顺石油,25.12,+0.33,1.33%,38.76%,7786616,194050379.0,4.49%,56.352,1.99%,4355657280.0
SH603288,海天味业,35.05,+0.46,1.33%,-46.54%,14310912,503020722.0,0.26%,33.03,1.663%,194899049067.0
SH603589,口子窖,47.17,+0.62,1.33%,-15.95%,8162076,386687867.0,1.37%,17.066,3.18%,28302000000.0
SH601700,风范股份,4.59,+0.06,1.32%,-10.01%,3741100,17210870.0,0.33%,300.815,0.218%,5242912353.0
SH600351,亚宝药业,7.65,+0.1,1.32%,31.04%,15243295,116604506.0,1.98%,34.191,0.654%,5890500176.0
SH600135,乐凯胶片,6.93,+0.09,1.32%,-8.08%,2636100,18292102.0,0.48%,234.759,0.303%,3834418196.0
SH600987,航民股份,7.69,+0.1,1.32%,10.35%,7356651,56127492.0,0.7%,12.149,3.901%,8080797026.0
SH600745,闻泰科技,43.69,+0.57,1.32%,-16.91%,12700725,552894747.0,1.02%,33.584,0.467%,54298309656.0
SH601390,中国中铁,6.16,+0.08,1.32%,13.76%,90459939,560090957.0,0.44%,4.706,3.247%,152473527255.0
SH600107,美尔雅,5.36,+0.07,1.32%,-13.13%,3892120,20866084.0,1.08%,,,1929600000.0
SH601933,永辉超市,3.07,+0.04,1.32%,-15.89%,22690300,69554052.0,0.25%,,0.651%,27860363569.0
SH601933,永辉超市,3.07,+0.04,1.32%,-15.89%,22690300,69554052.0,0.25%,,0.651%,27860363569.0
SH600207,安彩高科,4.64,+0.06,1.31%,-25.76%,4629992,21463635.0,0.44%,102.954,,5054410251.0
SH603081,大丰实业,12.42,+0.16,1.31%,0.57%,3162423,39395896.0,0.78%,18.658,1.208%,5087574469.0
SH600501,航天晨光,12.37,+0.16,1.31%,12.87%,2360300,29222058.0,0.56%,78.68,0.243%,5342956782.0
SH600807,济南高新,3.1,+0.04,1.31%,-8.82%,7297800,22581010.0,0.93%,10.365,,2742367666.0
SH603282,亚光股份,24.74,+0.32,1.31%,39.03%,523357,12909697.0,1.56%,17.829,1.213%,3310706800.0
SH601999,出版传媒,6.19,+0.08,1.31%,-4.92%,5375300,33423565.0,0.98%,36.694,0.679%,3410161993.0
SH605566,福莱蒽特,20.15,+0.26,1.31%,-11.79%,711067,14277459.0,1.14%,121.831,0.174%,2686801000.0
SH603867,新化股份,28.75,+0.37,1.3%,-9.78%,1353200,39151020.0,0.73%,19.407,1.913%,5335749501.0
SH601116,三江购物,10.89,+0.14,1.3%,-2.3%,5131699,56091762.0,0.94%,36.922,1.837%,5964217776.0
SH600873,梅花生物,9.34,+0.12,1.3%,-4.11%,8848983,82617984.0,0.3%,8.802,4.283%,27491599793.0
SH601827,三峰环境,7.02,+0.09,1.3%,12.32%,3216129,22531487.0,0.19%,9.963,3.162%,11781441360.0
SH600051,宁波联合,7.03,+0.09,1.3%,-5.23%,2771200,19446740.0,0.89%,25.092,1.707%,2185486400.0
SH600628,新世界,7.0,+0.09,1.3%,-8.03%,2987087,20924882.0,0.46%,251.181,0.429%,4528127688.0
SH603638,艾迪精密,16.49,+0.21,1.29%,11.14%,2020300,33617454.0,0.24%,47.601,0.606%,13824144199.0
SH603183,建研院,4.72,+0.06,1.29%,3.48%,8231386,38893975.0,1.67%,18.897,0.869%,2364942553.0
SH600905,三峡能源,4.7,+0.06,1.29%,-15.62%,72491514,340508670.0,0.53%,20.236,1.617%,134528472240.0
SH601002,晋亿实业,4.7,+0.06,1.29%,3.38%,4122038,19403407.0,0.43%,152.944,2.128%,4496677624.0
SH600714,金瑞矿业,8.68,+0.11,1.28%,0.23%,853401,7373110.0,0.3%,364.12,1.152%,2501370050.0
SH601515,东风股份,3.96,+0.05,1.28%,-7.91%,9305572,36874686.0,0.5%,25.223,9.47%,7298129611.0
SH603991,至正股份,35.68,+0.45,1.28%,-6.11%,218500,7790053.0,0.29%,,,2659408729.0
SH600608,ST沪科,3.97,+0.05,1.28%,-12.94%,853201,3381381.0,0.27%,1368.921,,1305579921.0
SH601989,中国重工,3.96,+0.05,1.28%,13.47%,53833103,212927114.0,0.24%,,0.076%,90296059883.0
SH600015,华夏银行,5.59,+0.07,1.27%,15.36%,29380335,163184176.0,0.23%,3.473,6.852%,88964450136.0
SH600713,南京医药,4.8,+0.06,1.27%,-3.88%,7367181,35281237.0,0.71%,11.012,2.917%,6289108858.0
SH601898,中煤能源,8.79,+0.11,1.27%,6.97%,28524836,250320674.0,0.31%,7.47,4.699%,116543651286.0
SH600258,首旅酒店,15.94,+0.2,1.27%,-35.73%,9762445,156844762.0,0.87%,214.149,0.163%,17798653828.0
SH603199,九华旅游,26.39,+0.33,1.27%,-7.18%,3276038,86321645.0,2.96%,21.303,0.644%,2920845200.0
SH600138,中青旅,10.39,+0.13,1.27%,-31.6%,10534396,109867154.0,1.46%,,,7520697600.0
SH603689,皖天然气,7.96,+0.1,1.27%,3.71%,2349310,18653016.0,0.5%,12.124,2.513%,3806729856.0
SH601311,骆驼股份,8.06,+0.1,1.26%,0.93%,7230700,58214515.0,0.62%,16.548,2.481%,9455557711.0
SH603848,好太太,15.21,+0.19,1.26%,10.49%,1665800,25156134.0,0.42%,23.001,1.315%,6099210000.0
SH600352,浙江龙盛,8.85,+0.11,1.26%,-8.16%,10083185,89310804.0,0.31%,12.144,2.825%,28791986961.0
SH600420,国药现代,9.65,+0.12,1.26%,7.0%,11515880,110988449.0,0.96%,17.305,1.036%,12942316478.0
SH603327,福蓉科技,12.09,+0.15,1.26%,0.3%,2423179,29223354.0,0.36%,26.255,2.548%,8193272100.0
SH600980,北矿科技,15.26,+0.19,1.26%,9.91%,1430533,21829595.0,0.92%,31.913,0.328%,2888161407.0
SH600103,青山纸业,2.43,+0.03,1.25%,9.87%,26087074,63380103.0,1.13%,45.717,2.058%,5603137271.0
SH600098,广州发展,5.65,+0.07,1.25%,5.13%,12343920,69857183.0,0.35%,11.314,3.575%,19817009089.0
SH600617,国新能源,4.09,+0.05,1.24%,0.99%,9172164,37566360.0,0.94%,180.523,0.489%,5635995975.0
SH603189,网达软件,13.93,+0.17,1.24%,0.69%,4139500,57421698.0,1.54%,,0.718%,3754808502.0
SH603895,天永智能,22.0,+0.27,1.24%,-8.86%,1026900,22696339.0,0.95%,,0.045%,2377760000.0
SH603416,信捷电气,37.55,+0.46,1.24%,-16.76%,1389632,52561334.0,0.99%,27.724,0.479%,5278028000.0
SH601958,金钼股份,9.88,+0.12,1.23%,-12.19%,14741806,146554175.0,0.46%,14.741,3.036%,31878851472.0
SH601328,交通银行,5.78,+0.07,1.23%,30.32%,75744692,436480148.0,0.19%,4.56,6.453%,429238560008.0
SH601566,九牧王,9.84,+0.12,1.23%,30.1%,2014400,19769662.0,0.35%,95.847,1.016%,5654429556.0
SH603988,中电电机,9.89,+0.12,1.23%,7.08%,1679000,16599727.0,0.71%,86.971,0.667%,2326128000.0
SH600497,驰宏锌锗,4.97,+0.06,1.22%,0.61%,45474941,226649659.0,0.89%,35.116,2.414%,25303719093.0
SH600009,上海机场,35.68,+0.43,1.22%,-38.17%,10314818,369795224.0,0.54%,,,88789014211.0
SH603682,锦和商管,5.84,+0.07,1.21%,12.0%,8580889,49829154.0,1.82%,23.143,3.767%,2759400000.0
SH600613,神奇制药,7.55,+0.09,1.21%,-6.82%,16847052,126569885.0,3.51%,78.693,1.325%,4032240791.0
SH600176,中国巨石,11.71,+0.14,1.21%,-11.36%,28670669,335302597.0,0.72%,12.445,4.449%,46876731085.0
SH601991,大唐发电,2.5,+0.03,1.21%,-9.46%,51563540,128929765.0,0.42%,,1.16%,46266776260.0
SH605580,恒盛能源,10.94,+0.13,1.2%,32.22%,1405076,15335975.0,1.96%,24.658,3.921%,3063200000.0
SH600717,天津港,4.2,+0.05,1.2%,4.26%,11812135,49733055.0,0.41%,14.622,1.833%,12154804360.0
SH605500,森林包装,7.6,+0.09,1.2%,7.73%,1481744,11285925.0,1.39%,27.969,1.408%,3149440000.0
SH600032,浙江新能,9.38,+0.11,1.19%,-17.92%,2976500,28046607.0,1.43%,59.399,0.736%,22555854539.0
SH600059,古越龙山,9.33,+0.11,1.19%,-3.11%,8769216,82450232.0,0.96%,41.56,0.857%,8504690713.0
SH605289,罗曼股份,33.29,+0.39,1.19%,55.85%,728775,24244742.0,1.44%,2732.069,1.424%,3654492975.0
SH600705,中航产融,3.4,+0.04,1.19%,5.29%,44136158,150075366.0,0.5%,27.861,1.765%,30004640504.0
SH605296,神农集团,19.52,+0.23,1.19%,-21.16%,789797,15380349.0,1.17%,89.645,1.281%,10248848183.0
SH600606,绿地控股,2.55,+0.03,1.19%,-14.43%,45156823,115031325.0,0.32%,,,35838256701.0
SH601298,青岛港,6.05,+0.07,1.17%,12.38%,7413016,44812289.0,0.14%,8.222,4.446%,39271155000.0
SH600868,梅雁吉祥,2.6,+0.03,1.17%,-2.27%,11180300,29092972.0,0.59%,112.484,0.385%,4935186565.0
SH600737,中粮糖业,7.75,+0.09,1.17%,18.72%,13274680,103024738.0,0.62%,18.87,6.452%,16576073767.0
SH603663,三祥新材,9.6,+0.11,1.16%,6.42%,2525104,24293805.0,0.6%,27.475,0.74%,4067269459.0
SH603377,东方时尚,5.25,+0.06,1.16%,-18.35%,6604493,34562054.0,0.92%,,,3783945144.0
SH600508,上海能源,13.94,+0.16,1.16%,2.27%,4544200,63843165.0,0.63%,10.646,5.237%,10074688920.0
SH600308,华泰股份,3.5,+0.04,1.16%,-3.35%,6015360,21072617.0,0.4%,20.02,,5309045616.0
SH603601,再升科技,4.35,+0.05,1.16%,-16.75%,5498593,23927286.0,0.54%,36.339,1.034%,4444150574.0
SH600371,万向德农,10.5,+0.12,1.16%,-24.56%,1751330,18407857.0,0.6%,46.19,1.905%,3072069000.0
SH600251,冠农股份,8.81,+0.1,1.15%,6.94%,6139507,54038677.0,0.79%,10.083,2.089%,6845313466.0
SH605050,福然德,10.54,+0.12,1.15%,-15.61%,1437800,15150686.0,0.29%,13.439,2.846%,5194419568.0
SH600101,明星电力,8.01,+0.09,1.14%,-4.96%,3444370,27562791.0,0.82%,18.566,0.999%,3375675687.0
SH603933,睿能科技,16.03,+0.18,1.14%,34.46%,3213800,51297148.0,1.57%,58.444,0.561%,3369980087.0
SH603068,博通集成,27.84,+0.31,1.13%,-2.18%,1762392,48782853.0,1.17%,,0.722%,4187831053.0
SH600560,金自天正,12.56,+0.14,1.13%,30.3%,3330690,41849534.0,1.49%,78.939,0.478%,2808987480.0
